,id,smiles,MW,logP,TPSA,HA,h_acc,h_don,rings,MR,Rot_bonds,lipinski
31,MAK-UNK-af83ef51-2,CC(CCc1ccccc1)N1CCN(C(=O)CCl)CC1,294.14989103600004,2.3907000000000007,23.55,20.0,2.0,0.0,2.0,83.09800000000006,5.0,0.0
32,MAK-UNK-af83ef51-6,Cc1cccc(CC2CCN(C(=O)CCl)CC2)c1,265.12334194,3.014920000000002,20.310000000000002,18.0,1.0,0.0,2.0,74.90700000000004,3.0,0.0
33,TAM-UNI-d1c3dd9f-5,CS(=O)(=O)N1CCc2ccc(CN3CCN(C(=O)CCl)CC3)cc2C1,385.122690308,0.8873000000000002,60.93000000000001,25.0,4.0,0.0,3.0,97.97680000000005,4.0,0.0
34,PAU-UNI-8cdd41c7-1,O=C(CCl)N1CCN(Cc2cc(Cl)cc(Cl)c2)CC1,320.02499614000004,2.876400000000001,23.550000000000004,19.0,2.0,0.0,2.0,79.03900000000003,3.0,0.0
35,DAR-DIA-fb20be43-4,CCNc1ncc(C#N)cc1CN1CCN(C(=O)CCl)CC1,321.13563794,1.2680799999999999,72.26,22.0,5.0,1.0,2.0,85.69270000000003,5.0,0.0
36,STU-CHA-6cae54d3-1,O=C(CCl)N1CCN(Cc2cc(Cl)ccc2CNC(=O)N2CCOCC2)CC1,428.13819605199996,1.7648000000000001,65.12,28.0,4.0,1.0,3.0,108.65670000000006,5.0,0.0
37,STU-CHA-7b3b91d5-1,O=C(NCc1ccc(Cl)cc1CN1CCN(C(=O)CCl)CC1)[C@@H]1CCCOC1,427.142947084,2.2657999999999996,61.88000000000001,28.0,4.0,1.0,3.0,109.41870000000006,6.0,0.0
38,STU-CHA-83dacf15-1,NS(=O)(=O)c1ccc2c(c1)CN(CC1CCN(C(=O)CCl)CC1)CC2,385.12269030799996,1.1694999999999998,83.71000000000001,25.0,4.0,1.0,3.0,96.82020000000004,4.0,0.0
39,SIM-SYN-f15aaa3a-1,O=C(CCl)N1CCN(C(c2ccccc2)c2ccccc2)CC1,328.13424097200004,3.1590000000000016,23.550000000000004,23.0,2.0,0.0,3.0,93.60000000000005,4.0,0.0
40,WAR-XCH-b0339bbe-19,O=C(CCl)N1CCC(c2nc(-c3cccnc3)nc3ccccc23)CC1,366.124738908,3.6366000000000023,58.980000000000004,26.0,4.0,0.0,4.0,102.04400000000004,3.0,0.0
41,WAR-XCH-79d12f6e-4,Cc1ccc(S(=O)(=O)NC2CCN(C(=O)CCl)CC2)cc1,330.080491148,1.5031199999999998,66.48,21.0,3.0,1.0,2.0,81.82250000000003,4.0,0.0
